DataProyectoMineria_Sexo,DataProyectoMineria_Zona,DataProyectoMineria_Departamento,DataProyectoMineria_Etario,DataProyectoMineria_Grupo,DataProyectoMineria_No_carente,DataProyectoMineria_Valor,DataProyectoMineria_Total,DataProyectoMineria_Proporción,DataProyectoMineria_Variable,DataProyectoMineria_ID,DataProyectoMineria_Nombre_dpto
Hombre,Rural,11,Menor,Colombiana,139.95297,0,139.95297,0,Sin sanitario,4929,"Bogotá, D.C."
Hombre,Rural,13,Mayor,Colombiana,4829.291,169098,173927.3,0.972233801134152,Sin internet,3866,Bolívar
Hombre,Rural,13,Mayor,Colombiana,8696.12,165231.2,173927.3,0.950001523625101,Sin alcantarillado,2798,Bolívar
Hombre,Rural,13,Mayor,Colombiana,16597.26,55179.03,71776.29,0.768764030573327,Sin suministro continuo de agua,2292,Bolívar
Hombre,Rural,13,Mayor,Colombiana,21150.65,152776.7,173927.3,0.878394018650321,Sin recogida de basuras,1228,Bolívar
Hombre,Rural,13,Mayor,Colombiana,71776.29,102151,173927.3,0.587320104434439,Sin acueducto,1762,Bolívar
Hombre,Rural,13,Mayor,Colombiana,72377.14,101550.2,173927.3,0.583865787602061,Sin combustible adecuado para cocinar,160,Bolívar
Hombre,Rural,13,Mayor,Colombiana,83790.72,90136.61,173927.3,0.518243024528064,Sin espacio exclusivo para la cocina,3332,Bolívar
Hombre,Rural,13,Mayor,Colombiana,85661.7,88265.63,173927.3,0.507485771353893,Sin refrigerador,4400,Bolívar
Hombre,Rural,13,Mayor,Colombiana,104157.3,69770.03,173927.3,0.40114478865595,Sin pisos duraderos,6002,Bolívar
Hombre,Rural,13,Mayor,Colombiana,104291.81,69635.52,173927.3,0.400371419552882,Hacinamiento,694,Bolívar
Hombre,Rural,13,Mayor,Colombiana,119362.4,54564.94,173927.3,0.313722687582685,Sin sanitario,4934,Bolívar
Hombre,Rural,13,Mayor,Colombiana,137796.3,36130.99,173927.3,0.207736163328011,Sin electricidad,5468,Bolívar
Hombre,Rural,13,Mayor,Colombiana,145145.4,28781.89,173927.3,0.165482302088286,Sin paredes duraderas,6536,Bolívar
Hombre,Rural,13,Mayor,Colombiana,157409.9,2274.789,159684.7,0.0142455037959178,Sin empleo,7052,Bolívar
Hombre,Rural,13,Mayor,Retornada,142.84752,1938.067,2080.9146,0.931353453909161,Sin suministro continuo de agua,2293,Bolívar
Hombre,Rural,13,Mayor,Retornada,142.84752,4976.239,5119.087,0.972095023975955,Sin alcantarillado,2799,Bolívar
Hombre,Rural,13,Mayor,Retornada,142.84752,4976.239,5119.087,0.972095023975955,Sin internet,3867,Bolívar
Hombre,Rural,13,Mayor,Retornada,280.69188,4838.395,5119.087,0.945167566013236,Sin recogida de basuras,1229,Bolívar
Hombre,Rural,13,Mayor,Retornada,1710.15,3408.936,5119.087,0.665926560732412,Sin espacio exclusivo para la cocina,3333,Bolívar
Hombre,Rural,13,Mayor,Retornada,2047.381,3071.706,5119.087,0.60004957915347,Sin combustible adecuado para cocinar,161,Bolívar
Hombre,Rural,13,Mayor,Retornada,2080.9146,3038.172,5119.087,0.593498801641777,Sin acueducto,1763,Bolívar
Hombre,Rural,13,Mayor,Retornada,2780.418,2338.669,5119.087,0.456852755188572,Hacinamiento,695,Bolívar
Hombre,Rural,13,Mayor,Retornada,3043.867,2075.22,5119.087,0.405388695288828,Sin refrigerador,4401,Bolívar
Hombre,Rural,13,Mayor,Retornada,3811.8026,1307.284,5119.087,0.255374444700784,Sin pisos duraderos,6003,Bolívar
Hombre,Rural,13,Mayor,Retornada,3923.582,1195.505,5119.087,0.233538715009141,Sin electricidad,5469,Bolívar
Hombre,Rural,13,Mayor,Retornada,4099.154,1019.933,5119.087,0.199241192814266,Sin sanitario,4935,Bolívar
Hombre,Rural,13,Mayor,Retornada,4914.976,0,4914.976,0,Sin empleo,7053,Bolívar
Hombre,Rural,13,Mayor,Retornada,4936.867,182.21933,5119.087,0.0355960603912377,Sin paredes duraderas,6537,Bolívar
Hombre,Rural,13,Mayor,Venezolana,142.84752,2967.502,3110.349,0.954073642539792,Sin internet,3868,Bolívar
Hombre,Rural,13,Mayor,Venezolana,272.72636,743.73173,1016.458,0.731689582845528,Sin suministro continuo de agua,2294,Bolívar
Hombre,Rural,13,Mayor,Venezolana,272.72636,2837.623,3110.349,0.912316592125192,Sin alcantarillado,2800,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1016.458,2093.891,3110.349,0.673201303133507,Sin acueducto,1764,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1076.012,2034.337,3110.349,0.654054255647839,Sin refrigerador,4402,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1336.248,1774.101,3110.349,0.570386474315262,Sin recogida de basuras,1230,Bolívar
Hombre,Rural,13,Mayor,Venezolana,1903.756,1206.593,3110.349,0.387928492911889,Hacinamiento,696,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2122.227,988.12264,3110.349,0.317688670949787,Sin pisos duraderos,6004,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2140.22,970.12872,3110.349,0.311903493787996,Sin espacio exclusivo para la cocina,3334,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2197.171,913.17789,3110.349,0.293593384536591,Sin sanitario,4936,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2255.287,855.06178,3110.349,0.274908629224566,Sin combustible adecuado para cocinar,162,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2724.909,385.440361,3110.349,0.123921901047117,Sin electricidad,5470,Bolívar
Hombre,Rural,13,Mayor,Venezolana,2979.073,131.27664,3110.349,0.0422064019182413,Sin paredes duraderas,6538,Bolívar
Hombre,Rural,13,Mayor,Venezolana,3016.84,0,3016.84,0,Sin empleo,7054,Bolívar
Hombre,Rural,13,Menor,Colombiana,3731.168,91861.92,95593.08,0.960968304400277,Sin internet,3863,Bolívar
